,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
110,Tupiza,0,BO,1586643659,7,-21.45,-65.72,293.62,2.24
111,Porto União,23,BR,1586643433,51,-26.24,-51.08,290.58,0.87
112,Puerto Ayora,40,EC,1586643404,70,-0.74,-90.35,302.15,3.1
113,Klaksvík,100,FO,1586643662,100,62.23,-6.59,279.15,9.3
114,Pitimbu,40,BR,1586643663,78,-7.47,-34.81,301.15,3.6
115,Namatanai,100,PG,1586643664,76,-3.67,152.43,300.94,1.64
116,Arak,0,IR,1586643666,32,34.09,49.69,280.61,3.73
117,Iwanai,4,JP,1586643667,89,42.97,140.51,273.3,1.15
118,Avarua,96,CK,1586643668,88,-21.21,-159.78,301.15,2.1
119,Beringovskiy,98,RU,1586643496,94,63.05,179.32,261.63,4.69
120,Severo-Yeniseyskiy,2,RU,1586643670,93,60.37,93.04,267.06,1.86
121,Puyang,12,CN,1586643671,85,29.46,119.89,279.51,1.69
122,Clyde River,75,CA,1586643672,84,70.47,-68.59,259.15,5.1
123,Qaanaaq,91,GL,1586643674,75,77.48,-69.36,263.18,1.05
124,Castro,13,BR,1586643675,66,-24.79,-50.01,289.23,1.04
125,Lüderitz,0,NA,1586643676,93,-26.65,15.16,287.15,0.5
126,Changji,78,CN,1586643677,49,44.02,87.32,282.15,2.0
127,Corner Brook,75,CA,1586643640,80,48.97,-57.95,275.15,4.6
128,Saint-Pierre,27,RE,1586643560,78,-21.34,55.48,296.15,2.6
129,Batagay,99,RU,1586643680,94,67.63,134.63,270.47,3.03
130,Hillsborough,75,US,1586643682,67,37.57,-122.38,293.71,5.7
131,Mahébourg,75,MU,1586643436,94,-20.41,57.7,298.71,5.7
132,Dodola,41,ET,1586643684,41,6.98,39.18,286.12,2.14
133,Wau,93,SS,1586643581,53,7.7,28.0,301.05,1.88
134,Salinópolis,93,BR,1586643686,83,-0.61,-47.36,300.97,5.06
135,Lavrentiya,94,RU,1586643687,98,65.58,-171.0,272.79,5.05
136,Henties Bay,5,NA,1586643505,70,-22.12,14.28,296.48,2.56
137,Kahului,40,US,1586643473,61,20.89,-156.47,300.15,4.1
138,East London,94,ZA,1586643692,67,-33.02,27.91,296.7,1.35
139,Krasnosel'kup,100,RU,1586643693,97,65.7,82.47,275.24,9.19
140,Ati,90,TD,1586643694,12,13.22,18.34,303.68,7.48
141,Iqaluit,75,CA,1586643583,63,63.75,-68.51,270.15,6.2
142,Preobrazheniye,9,RU,1586643696,92,42.9,133.91,272.2,1.56
143,Benjamín Hill,87,MX,1586643698,36,30.17,-111.1,293.71,5.36
144,Cockburn Town,0,TC,1586643565,69,21.46,-71.14,300.2,4.52
145,Khingansk,0,RU,1586643700,78,49.12,131.18,272.36,0.51
146,Monster,8,NL,1586643701,87,52.03,4.17,286.15,1.0
147,Avera,1,US,1586643434,31,33.19,-82.53,297.15,2.1
148,Tual,83,ID,1586643620,70,-5.67,132.75,301.74,0.44
149,Hasaki,75,JP,1586643434,93,35.73,140.83,281.15,3.6
150,Voyvozh,87,RU,1586643706,94,62.89,54.96,265.62,0.29
151,Panguipulli,0,CL,1586643707,47,-39.63,-72.33,288.15,2.6
152,Amahai,0,ID,1586643708,77,-3.33,128.92,299.53,1.74
153,Kalmunai,1,LK,1586643709,77,7.42,81.82,300.6,1.95
154,Mayskiy,35,RU,1586643710,44,47.69,40.1,277.59,4.0
155,Tutóia,40,BR,1586643711,83,-2.76,-42.27,302.15,4.1
156,Kamaishi,10,JP,1586643460,66,39.27,141.88,278.77,2.61
157,Auki,95,SB,1586643714,75,-8.77,160.7,301.05,1.52
158,Hithadhoo,0,MV,1586643715,65,-0.6,73.08,302.35,2.85
159,Rawson,0,AR,1586643442,30,-43.3,-65.1,290.23,6.32
160,Biak,47,ID,1586643422,72,-0.91,122.88,299.48,2.32
161,Marzuq,1,YE,1586643481,47,14.4,46.47,296.04,1.68
162,Brae,100,GB,1586643720,87,60.4,-1.35,281.15,10.8
163,Øksfjord,100,NO,1586643457,68,70.24,22.35,272.15,6.2
164,Neuquén,27,AR,1586643513,40,-38.95,-68.06,293.15,1.5
165,Kalāleh,39,IR,1586643723,100,37.38,55.49,283.15,1.0
166,Verkhnevilyuysk,98,RU,1586643528,96,63.45,120.32,272.3,3.99
167,Tezu,0,IN,1586643725,32,27.92,96.17,294.16,1.6
168,Port Augusta,0,AU,1586643491,76,-32.5,137.77,285.15,4.6
169,Cabo San Lucas,75,MX,1586643566,52,22.89,-109.91,298.71,9.8
170,Hobyo,0,SO,1586643729,70,5.35,48.53,301.52,6.31
171,Esperance,98,AU,1586643577,60,-33.87,121.9,294.15,8.2
172,Bengkulu,37,ID,1586643731,81,-3.8,102.27,299.01,1.6
173,Dicabisagan,6,PH,1586643732,81,17.08,122.42,297.8,1.01
174,Lázaro Cárdenas,56,MX,1586643724,55,17.96,-102.2,302.83,3.77
175,Chiredzi,86,ZW,1586643735,58,-21.05,31.67,293.28,1.42
176,Kangundo,40,KE,1586643736,100,-1.3,37.35,292.15,2.6
177,Marsh Harbour,10,BS,1586643490,76,26.54,-77.06,296.61,6.8
178,Tila,5,MX,1586643738,29,17.4,-92.48,312.15,1.71
179,Lebu,0,CL,1586643739,55,-37.62,-73.65,287.51,7.56
180,Zyryanka,5,RU,1586643740,95,65.75,150.85,266.91,5.18
181,Carnarvon,14,AU,1586643507,100,-24.87,113.63,297.15,4.1
182,Kaitangata,92,NZ,1586643743,62,-46.28,169.85,286.82,4.0
183,Vila Franca do Campo,20,PT,1586643569,76,37.72,-25.43,287.15,6.2
184,Lagoa,0,PT,1586643745,75,39.05,-27.98,289.63,4.68
185,Mugur-Aksy,80,RU,1586643746,46,50.35,90.5,271.4,0.82
186,Bethel,20,US,1586643747,25,41.37,-73.41,285.93,6.7
187,New Norfolk,75,AU,1586643690,57,-42.78,147.06,284.82,6.2
188,Sava,0,IT,1586643750,93,40.4,17.56,287.04,1.5
189,Homer,75,US,1586643751,38,59.64,-151.55,278.15,1.5
190,Barabai,100,ID,1586643752,94,-2.58,115.38,296.12,0.14
191,Kitob,100,UZ,1586643753,52,39.08,66.83,290.11,2.95
192,Port-Gentil,100,GA,1586643754,87,-0.72,8.78,298.78,5.36
193,Kuytun,93,RU,1586643755,83,54.34,101.5,271.83,2.35
194,Mar del Plata,37,AR,1586643599,67,-38.0,-57.56,292.59,3.1
195,Freeport,1,US,1586643635,24,40.66,-73.58,286.48,6.7
196,Camopi,65,GF,1586643759,79,3.17,-52.32,299.7,2.11
197,Salinas,90,US,1586643485,67,36.68,-121.66,294.26,4.6
198,Khatanga,32,RU,1586643761,93,71.97,102.5,254.79,3.58
199,Touros,20,BR,1586643572,88,-5.2,-35.46,300.15,2.6
200,Kemijärvi,50,FI,1586643764,95,66.71,27.43,266.78,2.57
201,Provideniya,100,RU,1586643765,94,64.38,-173.3,273.09,2.07
202,Sept-Îles,75,CA,1586643755,30,50.2,-66.38,279.15,7.7
203,Bowen,99,AU,1586643767,94,-20.02,148.23,297.59,1.67
204,Pringsewu,65,ID,1586643768,89,-5.36,104.97,296.98,0.78
205,Oruzgan,99,AF,1586643769,41,32.83,66.0,284.95,0.67
206,Margate,34,GB,1586643505,10,51.38,1.39,287.59,3.02
207,Tsiroanomandidy,73,MG,1586643772,61,-18.77,46.03,292.06,1.9
208,Ajdabiya,38,LY,1586643773,55,30.76,20.23,289.37,4.7
209,Ahipara,90,NZ,1586643774,77,-35.17,173.17,291.77,6.55
210,Cayenne,20,GF,1586643775,78,4.93,-52.33,300.15,2.6
211,Mackay,100,AU,1586643776,83,-21.15,149.2,298.15,2.6
212,Sitka,20,US,1586643777,42,57.05,-135.33,281.15,3.1
213,San Quintín,9,MX,1586643779,65,30.48,-115.95,290.21,7.56
214,Portland,20,US,1586643675,41,45.52,-122.68,289.82,3.1
215,Arrondissement de Narbonne,0,FR,1586643781,93,43.08,2.83,287.15,2.1
216,Ciudad Guayana,89,VE,1586643782,23,8.35,-62.65,309.55,5.19
217,Birjand,90,IR,1586643783,67,32.87,59.22,289.15,4.1
218,Makokou,100,GA,1586643785,84,0.57,12.86,294.08,2.04
219,Bānāvar,0,IN,1586643786,40,13.41,76.17,298.15,1.32
220,Kaoma,98,ZM,1586643788,67,-14.78,24.8,290.67,2.08
221,Awjilah,23,LY,1586643789,36,29.11,21.29,290.53,4.13
222,Wellington,61,NZ,1586643726,67,-41.29,174.78,290.37,10.8
223,Kentville,75,CA,1586643791,60,45.08,-64.5,278.71,8.7
224,Souillac,75,MU,1586643509,94,-20.52,57.52,298.71,5.7
225,Carauari,73,BR,1586643595,87,-4.88,-66.9,301.99,0.72
226,Kodinsk,0,RU,1586643566,95,58.69,99.18,270.73,0.75
227,Caetité,99,BR,1586643796,70,-14.07,-42.48,295.42,0.96
228,Lodwar,89,KE,1586643797,33,3.12,35.6,304.81,9.57
229,Itaituba,20,BR,1586643798,79,-4.28,-55.98,302.15,0.57
230,Sterling,40,US,1586643799,25,39.01,-77.43,290.37,6.7
231,Puerto Escondido,40,MX,1586643800,83,15.85,-97.07,302.15,3.1
232,Araouane,0,ML,1586643802,10,18.9,-3.53,304.72,2.62
233,Narsaq,100,GL,1586643803,33,60.92,-46.05,280.15,19.0
234,Pacifica,75,US,1586643804,67,37.61,-122.49,293.71,5.7
235,Broken Hill,0,AU,1586643805,66,-31.95,141.43,282.15,3.6
236,Bud,1,US,1586643806,25,39.45,-86.18,290.93,5.1
237,Anshan,0,CN,1586643808,53,41.12,122.99,280.37,4.29
238,Paragominas,98,BR,1586643809,90,-2.97,-47.48,298.79,1.13
239,Gobabis,35,NA,1586643810,77,-22.45,18.97,290.15,0.5
240,Kirkland Lake,99,CA,1586643811,68,48.14,-80.04,275.96,3.82
241,Atar,0,MR,1586643812,17,20.52,-13.05,302.6,3.61
242,Nampula,46,MZ,1586643813,88,-15.12,39.27,292.19,1.75
243,Kirakira,95,SB,1586643814,77,-10.45,161.92,301.16,2.85
244,Payson,75,US,1586643816,33,40.04,-111.73,290.93,6.7
245,Waipawa,55,NZ,1586643817,67,-41.41,175.52,290.15,10.8
246,Whyalla,6,AU,1586643818,71,-33.03,137.58,286.15,5.1
247,Nouadhibou,0,MR,1586643819,68,20.93,-17.03,294.15,9.3
248,Lukovetskiy,75,RU,1586643820,85,64.3,41.92,269.15,1.0
249,Mindelo,75,CV,1586643821,78,16.89,-24.98,296.15,7.2
250,Alice Town,34,BS,1586643823,86,25.72,-79.3,297.86,8.06
251,Constitución,60,CL,1586643824,65,-35.33,-72.42,288.9,6.09
252,Bathsheba,40,BB,1586643825,69,13.22,-59.52,300.15,5.7
253,Tsabong,0,BW,1586643826,30,-26.02,22.4,296.91,5.42
254,Parry Sound,0,CA,1586643827,33,45.35,-80.03,278.15,0.89
255,Iwaki,75,JP,1586643828,100,37.05,140.88,282.04,1.0
256,Cherrapunjee,36,IN,1586643830,47,25.3,91.7,286.98,0.68
257,Yingkou,0,CN,1586643831,54,40.66,122.23,280.69,5.96
258,Paamiut,100,GL,1586643832,86,61.99,-49.67,274.95,1.07
259,Launceston,90,AU,1586643610,81,-41.45,147.17,284.82,2.1
260,Hofn,20,IS,1586643644,55,64.25,-15.21,277.15,9.8
261,Tomé,0,CL,1586643836,55,-36.62,-72.95,290.15,6.2
262,Grindavik,40,IS,1586643837,86,63.84,-22.43,277.15,6.7
263,Muros,40,ES,1586643838,93,42.78,-9.06,287.04,2.1
264,Nabire,47,ID,1586643839,88,-3.37,135.48,297.63,1.28
265,Tanout,98,NE,1586643840,13,14.97,8.89,300.99,4.08
266,Thompson,90,CA,1586643645,79,55.74,-97.86,269.15,5.1
267,Erenhot,0,CN,1586643843,37,43.65,111.98,277.3,3.01
268,Tiksi,37,RU,1586643650,93,71.69,128.87,262.64,7.93
269,Kasongo-Lunda,66,CD,1586643845,78,-6.47,16.82,294.33,0.51
270,Faanui,56,PF,1586643810,77,-16.48,-151.75,301.26,5.66
271,Tripoli,5,LY,1586643789,65,32.88,13.19,289.88,8.13
272,Mitsamiouli,22,KM,1586643849,75,-11.38,43.28,301.91,4.16
273,Pevek,62,RU,1586643850,91,69.7,170.31,258.92,5.92
274,Kommunisticheskiy,100,RU,1586643851,92,61.68,64.48,274.31,1.35
275,Boa Vista,40,BR,1586643746,41,2.82,-60.67,307.15,6.7
276,Bhawana,36,PK,1586643853,33,31.57,72.65,298.22,1.18
277,Kumul,54,CN,1586643855,21,42.8,93.45,285.56,1.99
278,Comodoro Rivadavia,0,AR,1586643622,36,-45.87,-67.5,289.15,6.2
279,Sioux Lookout,75,CA,1586643568,59,50.1,-91.92,275.15,6.2
280,Yaring,99,TH,1586643858,84,6.87,101.37,300.5,4.35
281,Artyom,67,AZ,1586643859,93,40.47,50.33,281.15,3.57
282,Pirovskoye,0,RU,1586643663,94,57.63,92.27,272.15,1.94
283,Korla,46,CN,1586643862,41,41.76,86.15,289.26,1.34
284,Chokurdakh,99,RU,1586643859,98,70.63,147.92,270.49,6.19
285,Oranjemund,27,NA,1586643864,92,-28.55,16.43,288.36,0.82
286,Kruisfontein,89,ZA,1586643594,54,-34.0,24.73,289.86,1.01
287,Kununurra,40,AU,1586643834,83,-15.77,128.73,298.15,2.1
288,Schruns,5,AT,1586643867,70,47.07,9.95,284.26,2.1
289,Havelock,1,US,1586643605,39,34.88,-76.9,292.59,6.7
290,Numan,100,NG,1586643870,21,9.47,12.03,304.38,1.21
291,Llangefni,0,GB,1586643871,87,53.26,-4.31,285.15,2.1
292,Luena,57,AO,1586643872,66,-11.78,19.92,288.63,1.35
293,Novikovo,88,RU,1586643873,68,51.15,37.89,276.48,5.11
294,Loreto,96,MX,1586643874,7,22.27,-101.97,301.83,11.97
295,Gemeente Hellevoetsluis,6,NL,1586643709,87,51.83,4.13,286.15,1.0
296,Nakhon Nayok,88,TH,1586643877,79,14.2,101.21,302.59,1.29
297,Yeppoon,40,AU,1586643878,74,-23.13,150.73,299.15,1.62
298,Valparaíso,100,CL,1586643879,72,-33.04,-71.63,289.15,2.1
299,Port Moresby,40,PG,1586643880,100,-9.44,147.18,298.15,1.5
300,Lompoc,20,US,1586643846,67,34.64,-120.46,295.93,7.7
301,Sabzawār,100,IR,1586643882,56,36.21,57.68,288.39,10.72
302,São Filipe,86,CV,1586643884,73,14.9,-24.5,297.38,5.58
303,Pio XII,65,BR,1586643885,91,-3.83,-45.15,299.55,1.39
304,Ginir,34,ET,1586643886,52,7.13,40.7,289.63,1.24
305,Kinsale,20,IE,1586643887,50,51.71,-8.53,284.15,3.6
306,Guerrero Negro,10,MX,1586643620,49,27.98,-114.06,292.63,7.74
307,Jalu,12,LY,1586643889,29,29.03,21.55,291.06,3.11
308,Kollam,20,IN,1586643890,78,8.88,76.6,301.15,1.5
309,Codrington,98,AU,1586643892,71,-38.27,141.97,284.83,5.02
310,Presidente Epitácio,35,BR,1586643893,58,-21.76,-52.12,297.55,1.91
311,Shubarkuduk,0,KZ,1586643894,58,49.14,56.49,278.94,3.96
312,São João da Barra,90,BR,1586643895,94,-21.64,-41.05,295.15,6.7
313,Karaj,40,IR,1586643644,87,35.84,51.01,283.15,4.1
314,Itarema,100,BR,1586643897,84,-2.92,-39.92,300.01,2.85
315,Isiro,79,CD,1586643899,79,2.77,27.62,293.75,0.76
316,Kiiu,100,EE,1586643900,87,59.45,25.38,274.26,1.5
317,São Bernardo do Campo,90,BR,1586643741,82,-23.69,-46.56,295.37,5.1
318,Bairiki Village,40,KI,1586643902,74,1.33,172.98,304.15,5.7
319,Antalaha,17,MG,1586643903,83,-14.9,50.28,298.02,5.31
320,Champerico,40,GT,1586643615,50,14.3,-91.92,308.15,6.2
321,Kultuk,100,RU,1586643906,67,51.72,103.7,277.33,2.22
322,Presidencia Roque Sáenz Peña,0,AR,1586643907,45,-26.79,-60.44,296.75,2.02
323,Lodja,96,CD,1586643908,82,-3.48,23.43,295.68,0.28
324,Ponto Novo,100,BR,1586643909,69,-10.86,-40.13,298.69,2.14
325,Qasigiannguit,100,GL,1586643910,73,68.82,-51.19,270.15,1.5
326,Ambon City,29,ID,1586643912,74,-3.7,128.18,301.07,1.81
327,Bakchar,5,RU,1586643913,98,57.02,82.07,272.11,1.99
328,Svelgen,100,NO,1586643914,100,61.77,5.3,280.93,8.7
329,Hosangadi,22,IN,1586643915,85,13.7,74.95,298.15,0.51
330,Bang Saphan,7,TH,1586643916,86,11.21,99.51,298.5,1.0
331,Caconda,32,AO,1586643918,60,-13.73,15.07,288.79,1.06
332,Ilulissat,100,GL,1586643919,73,69.22,-51.1,270.15,1.5
333,Samarai,92,PG,1586643920,68,-10.62,150.67,299.42,0.8
334,Iğdır,20,TR,1586643921,75,39.92,44.05,278.15,2.6
335,Roquetas de Mar,90,ES,1586643922,67,36.76,-2.61,290.15,5.7
336,Encheng,38,CN,1586643796,80,22.18,112.3,289.64,4.96
337,Miajadas,100,ES,1586643925,93,39.15,-5.91,287.59,1.21
338,Fortuna,75,US,1586643926,87,40.6,-124.16,287.59,5.7
339,Kropotkin,36,RU,1586643927,64,45.44,40.58,278.53,4.13
340,Egvekinot,0,RU,1586643928,82,66.32,-179.17,263.84,0.82
341,Ol'ga,0,RU,1586643929,87,43.74,135.29,272.0,2.33
342,Punto Fijo,55,VE,1586643930,71,11.7,-70.2,301.61,12.75
343,Shakiso,34,ET,1586643932,59,5.75,38.92,289.42,0.83
344,Saint Anthony,1,US,1586643933,21,45.02,-93.22,289.26,2.1
345,Acaraú,100,BR,1586643934,85,-2.89,-40.12,299.75,2.62
346,Lékoni,92,GA,1586643935,70,-1.58,14.26,298.03,2.84
347,Pemba,20,MZ,1586643936,83,-12.97,40.52,299.15,5.1
348,Hermiston,40,US,1586643938,22,45.84,-119.29,292.15,7.7
349,Leer,92,SS,1586643939,34,8.3,30.14,305.16,1.02
350,Teya,1,RU,1586643666,94,60.38,92.63,268.23,1.74
351,Moerai,42,PF,1586643942,79,-22.43,-151.33,300.84,1.5
352,Bilibino,92,RU,1586643943,90,68.05,166.44,260.93,0.56
353,Hambantota,26,LK,1586643944,81,6.12,81.12,300.27,4.72
354,Shūshtar,4,IR,1586643945,30,32.05,48.86,294.78,2.04
355,Katangli,98,RU,1586643946,97,51.71,143.23,271.52,5.72
356,Batemans Bay,1,AU,1586643947,94,-35.72,150.18,278.71,4.0
357,Santo André,90,BR,1586643948,82,-23.66,-46.54,295.37,5.1
358,Tres Arroyos,95,AR,1586643883,44,-38.37,-60.28,293.86,3.02
359,Mīāndoāb,40,IR,1586643872,81,36.97,46.1,279.15,2.1
360,Wahiawā,20,US,1586643927,69,21.5,-158.02,301.15,3.6
361,Balkanabat,0,TM,1586643953,57,39.51,54.37,286.52,3.25
362,Mayor Pablo Lagerenza,0,PY,1586643954,28,-19.93,-60.77,302.73,1.76
363,Umluj,1,SA,1586643931,51,25.02,37.27,294.01,3.33
364,Roncesvalles,75,CO,1586643956,94,4.01,-75.6,301.15,0.85
365,Thunder Bay,75,CA,1586643958,27,48.4,-89.32,283.15,7.7
366,Alofi,97,NU,1586643959,62,-19.06,-169.92,302.15,4.6
367,Wilmington,1,US,1586643960,34,34.23,-77.94,292.04,5.1
368,Sørland,100,NO,1586643961,78,67.67,12.69,275.03,5.45
369,Crotone,35,IT,1586643732,66,39.09,17.12,287.99,1.7
370,Udala,75,ES,1586643963,93,43.08,-2.51,288.15,2.1
371,Ola,94,RU,1586643949,91,59.58,151.28,264.76,2.51
372,Husavik,75,IS,1586643966,69,66.04,-17.34,274.15,12.3
